Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:604352		MIM:602851			GPR98	HP:0000006																			
MIM:604352		MIM:602851			GPR98	HP:0001275																			
MIM:604352		MIM:602851			GPR98	HP:0001425																			
MIM:604352		MIM:602851			GPR98	HP:0002069																			
MIM:604352		MIM:602851			GPR98	HP:0002124																			
MIM:604352		MIM:602851			GPR98	HP:0002125																			
MIM:604352		MIM:602851			GPR98	HP:0002175																			
MIM:604352		MIM:602851			GPR98	HP:0002182																			
MIM:604352		MIM:602851			GPR98	HP:0002184																			
MIM:604352		MIM:602851			GPR98	HP:0002306																			
MIM:604352		MIM:602851			GPR98	HP:0002373																			
MIM:604352		MIM:602851			GPR98	HP:0002431																			
MIM:604352		MIM:602851			GPR98	HP:0003617																			
