Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:610489		MIM:188830			PRKAR1A	HP:0000006																			
MIM:610489		MIM:188830			PRKAR1A	HP:0000311		FMA:24728		PATO:0000411															
MIM:610489		MIM:188830			PRKAR1A	HP:0000709																			
MIM:610489		MIM:188830			PRKAR1A	HP:0000713																			
MIM:610489		MIM:188830			PRKAR1A	HP:0000716																			
MIM:610489		MIM:188830			PRKAR1A	HP:0000739																			
MIM:610489		MIM:188830			PRKAR1A	HP:0000822																			
MIM:610489		MIM:188830			PRKAR1A	HP:0000850																			
MIM:610489		MIM:188830			PRKAR1A	HP:0000938		FMA:5018		PATO:0001790									PATO:0001869						
MIM:610489		MIM:188830			PRKAR1A	HP:0000939				_:increased_bone_resorption_and__:decreased_osteogenesis									PATO:0001869						
MIM:610489		MIM:188830			PRKAR1A	HP:0000963		FMA:7163		PATO:0000592															
MIM:610489		MIM:188830			PRKAR1A	HP:0000978																			
MIM:610489		MIM:188830			PRKAR1A	HP:0001065																			
MIM:610489		MIM:188830			PRKAR1A	HP:0001425																			
MIM:610489		MIM:188830			PRKAR1A	HP:0001575																			
MIM:610489		MIM:188830			PRKAR1A	HP:0001579																			
MIM:610489		MIM:188830			PRKAR1A	HP:0001580																			
MIM:610489		MIM:188830			PRKAR1A	HP:0001956																			
MIM:610489		MIM:188830			PRKAR1A	HP:0002303																			
MIM:610489		MIM:188830			PRKAR1A	HP:0002808				PATO:0001468									PATO:0001869						
MIM:610489		MIM:188830			PRKAR1A	HP:0002920		FMA:63083		PATO:0001163		FMA:74639													
MIM:610489		MIM:188830			PRKAR1A	HP:0003118		FMA:63083		PATO:0001162		CHEBI:17650													
MIM:610489		MIM:188830			PRKAR1A	HP:0003466																			
MIM:610489		MIM:188830			PRKAR1A	HP:0003663																			
