Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0000007												IEA							17.02.2009	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0000023												IEA							17.02.2009	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0000404		GO:0007605		PATO:0000462								ITM							17.02.2009	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0001510		GO:0040007		PATO:0000911								IEA							17.02.2009	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0001537		FMA:61584		PATO:0000643								IEA							17.02.2009	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0002342												IEA							17.02.2009	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0002656		FMA:24012		PATO:0000640								ITM							17.02.2009	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0007669												IEA							17.02.2009	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0008513												ITM							17.02.2009	
MIM:601351	GROWTH RETARDATION, DEAFNESS, FEMORAL EPIPHYSEAL DYSPLASIA, AND LACRIMALDUCT OBSTRUCTION					HP:0008530												ITM							17.02.2009	
