Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:611603		MIM:602529			TUBA1A	HP:0000006																			
MIM:611603		MIM:602529			TUBA1A	HP:0000252		FMA:46565		PATO:0000587															
MIM:611603		MIM:602529			TUBA1A	HP:0001250																			
MIM:611603		MIM:602529			TUBA1A	HP:0001270																			
MIM:611603		MIM:602529			TUBA1A	HP:0001274				PATO:0001557		FMA:86464													
MIM:611603		MIM:602529			TUBA1A	HP:0001302																			
MIM:611603		MIM:602529			TUBA1A	HP:0001320																			
MIM:611603		MIM:602529			TUBA1A	HP:0001339																			
MIM:611603		MIM:602529			TUBA1A	HP:0002365		FMA:79876		PATO:0000645															
MIM:611603		MIM:602529			TUBA1A	HP:0002447		FMA:82553		PATO:0000586															
MIM:611603		MIM:602529			TUBA1A	HP:0002510																			
MIM:611603		MIM:602529			TUBA1A	HP:0006887																			
