Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000007												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000074												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000081												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000126		FMA:15575		PATO:0001571								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000154		FMA:49184		PATO:0000600								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000170												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000175		FMA:54549		PATO:0000403								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000248												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000254		FMA:63864		PATO:0000001								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000286												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000316		FMA:54450		PATO:0000374		FMA:54449						IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000322		FMA:59819		PATO:0000574								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000396												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000405												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000439												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000465												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000480		FMA:58301		HP:0000589								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000687												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0000972												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0001176		FMA:9712		PATO:0000586								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0001249												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0001250												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0001252		FMA:30316		PATO:0001619								IEA		PATO:0001869					17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0001520												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0001629		FMA:7133		PATO:0000609								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0001636				PATO:0000001								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0001669												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0001833		FMA:9664		PATO:0000586								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0002059												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0002136												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0002557		FMA:67771		PATO:0000645								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0002562		FMA:67771		PATO:0001476								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0004209		FMA:24949		HP:0001157								ITM							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0004957												IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0006721		FMA:83030		HP:0002488								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0008070		FMA:53667		PATO:0001609								IEA							17.02.2009	
MIM:280000	ZUNICH NEUROECTODERMAL SYNDROME					HP:0008760												IEA							17.02.2009	
