Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0000007												ITM							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0000654												IEA							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0001252		FMA:30316		PATO:0001619								IEA		PATO:0001869					17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0001263												IEA							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0001266												ITM							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0001425												ITM							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0001427		GO:0005739		HP:0000005								IEA							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0002351												IEA							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0002355												IEA							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0002359												IEA							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0003200												IEA							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0003487												IEA							17.02.2009	
MIM:500003	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL					HP:0003576												IEA							17.02.2009	
