Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0001260												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0001310												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0001347												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0001419												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0001939		GO:0008152		PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0002075												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0002080												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0002169												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0002470												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0002513												ITM							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0003487												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0003580												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0004840												IEA							17.02.2009	
MIM:301310	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	MIM:300135			ABCB7	HP:0007263												ITM							17.02.2009	
