Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0000028												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0000175		FMA:54549		PATO:0000403								IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0000324		FMA:24728		PATO:0000616								IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0000568												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0000625		FMA:54437		HP:0000589								IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0000639												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0000765				PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0001144		FMA:53074		PATO:0001673								IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0001249												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0001250												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0001274				PATO:0001557		FMA:86464						IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0001305												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0001374												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0001420												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0001485												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0001595		FMA:53667		PATO:0000001								IEA		PATO:0000460					17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0002079		FMA:86464		PATO:0000645								IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0002282												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0002447		FMA:82553		PATO:0000586								IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0003191		FMA:59519		PATO:0001495								IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0003769												IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0007115		FMA:53074		HP:0002084								IEA							17.02.2009	
MIM:164180	OCULOCEREBROCUTANEOUS SYNDROME					HP:0007510												IEA							17.02.2009	
