Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:600081		MIM:608713			CYP2R1	HP:0000007																			
MIM:600081		MIM:608713			CYP2R1	HP:0000254		FMA:63864		PATO:0000001															
MIM:600081		MIM:608713			CYP2R1	HP:0000886		FMA:7480		PATO:0001617															
MIM:600081		MIM:608713			CYP2R1	HP:0001252		FMA:30316		PATO:0001619									PATO:0001869						
MIM:600081		MIM:608713			CYP2R1	HP:0001324		FMA:5022		PATO:0001779															
MIM:600081		MIM:608713			CYP2R1	HP:0001508																			
MIM:600081		MIM:608713			CYP2R1	HP:0002148		FMA:62970		PATO:0001163		CHEBI:26020													
MIM:600081		MIM:608713			CYP2R1	HP:0002355																			
MIM:600081		MIM:608713			CYP2R1	HP:0002653																			
MIM:600081		MIM:608713			CYP2R1	HP:0002660				HP:0002662									PATO:0002051						
MIM:600081		MIM:608713			CYP2R1	HP:0002663		GO:0001503		PATO:0000502															
MIM:600081		MIM:608713			CYP2R1	HP:0002748																			
MIM:600081		MIM:608713			CYP2R1	HP:0002752																			
MIM:600081		MIM:608713			CYP2R1	HP:0002753		FMA:24018		PATO:0000592															
MIM:600081		MIM:608713			CYP2R1	HP:0002976																			
MIM:600081		MIM:608713			CYP2R1	HP:0002979		FMA:24979		PATO:0000406															
MIM:600081		MIM:608713			CYP2R1	HP:0003013																			
MIM:600081		MIM:608713			CYP2R1	HP:0003017																			
MIM:600081		MIM:608713			CYP2R1	HP:0003018				PATO:0000001															
MIM:600081		MIM:608713			CYP2R1	HP:0003020																			
MIM:600081		MIM:608713			CYP2R1	HP:0003029																			
MIM:600081		MIM:608713			CYP2R1	HP:0003155																			
MIM:600081		MIM:608713			CYP2R1	HP:0003576																			
MIM:600081		MIM:608713			CYP2R1	HP:0003698																			
MIM:600081		MIM:608713			CYP2R1	HP:0004492																			
MIM:600081		MIM:608713			CYP2R1	HP:0006620																			
