Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add 'l Entity Name	Mode of inheritance ID	Mode of inheritance Name	Age of Onset ID	Age of Onset Name	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:605249		MIM:160775			MYH9	HP:0000006																			
MIM:605249		MIM:160775			MYH9	HP:0000079																			
MIM:605249		MIM:160775			MYH9	HP:0000404		GO:0007605		PATO:0000462															
MIM:605249		MIM:160775			MYH9	HP:0000421																			
MIM:605249		MIM:160775			MYH9	HP:0000478				PATO:0000001									PATO:0000460						
MIM:605249		MIM:160775			MYH9	HP:0001902		FMA:62851		PATO:0001940															
MIM:605249		MIM:160775			MYH9	HP:0001932																			
MIM:605249		MIM:160775			MYH9	HP:0008294																			
MIM:605249		MIM:160775			MYH9	HP:0008302																			
MIM:605249		MIM:160775			MYH9	HP:0008513																			
MIM:605249		MIM:160775			MYH9	HP:0008530																			
