Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0008872	Feeding difficulties in infancy			IEA	IEA						OMIM-CS:ABDOMEN_GASTROINTESTINAL > FEEDING DIFFICULTIES IN INFANCY	OMIM:300867	HPO:skoehler	Oct 16, 2012	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0001631	Defect in the atrial septum			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_HEART > ATRIAL SEPTAL DEFECT (IN SOME PATIENTS)	OMIM:300867	HPO:skoehler	Oct 16, 2012	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0002564	Malformation of the heart and great vessels			IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > CONGENITAL HEART DISEASE	OMIM:300867	HPO:skoehler	Oct 16, 2012	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0001680	Coarctation of aorta			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_VASCULAR > AORTIC COARCTATION (IN SOME PATIENTS)	OMIM:300867	HPO:skoehler	Oct 16, 2012	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0000769	Abnormality of the breast	HP:0003593	Infantile onset	IEA	IEA						OMIM-CS:CHEST_BREASTS > AREOLAR FULLNESS IN INFANCY	OMIM:300867	HPO:skoehler	Oct 16, 2012	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0004322	Short stature			IEA	IEA						OMIM-CS:GROWTH_HEIGHT > LESS THAN THIRD CENTILE	OMIM:300867	HPO:skoehler	Oct 16, 2012	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0004325	Decreased body weight			IEA	IEA						OMIM-CS:GROWTH_WEIGHT > LESS THAN THIRD CENTILE	OMIM:300867	HPO:skoehler	Oct 16, 2012	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0000378	Cupped ear			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > CUPPED EARS (IN SOME PATIENTS)	OMIM:300867	HPO:skoehler	Oct 16, 2012	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0000356	Abnormality of the outer ear			IEA	IEA						OMIM-CS:HEAD AND NECK_EARS > LARGE AURICLE	OMIM:300867	HPO:skoehler	Oct 16, 2012	
OMIM:300867	#300867 KABUKI SYNDROME 2; KABUK2					HP:0000412	Prominent ears			IEA	IEA						OMIM-CS:HEAD AND NECK_EARS > PROMINENT EARS	OMIM:300867	HPO:skoehler	Oct 16, 2012	
