Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:260300	HPO	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0000514	Slow saccadic eye movements			IEA	IEA							OMIM:260300	HPO:skoehler	Jun 18, 2010	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0001260	Dysarthria			IEA	IEA							OMIM:260300	HPO:skoehler	Jun 18, 2010	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0001300	Parkinsonism			IEA	IEA							OMIM:260300	HPO	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0001332	Dystonia			IEA	IEA							OMIM:260300	HPO:skoehler	Jun 18, 2010	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0001337	Tremor			IEA	IEA							OMIM:260300	HPO	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0001347	Hyperreflexia			IEA	IEA							OMIM:260300	HPO	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0001762	Talipes equinovarus			IEA	IEA							OMIM:260300	HPO	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0002063	Rigidity			IEA	IEA							OMIM:260300	HPO	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0002067	Bradykinesia			IEA	IEA							OMIM:260300	HPO	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0002071	Abnormality of extrapyramidal motor function			TAS	TAS							OMIM:260300	HPO:skoehler	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0002172	Postural instability			IEA	IEA							OMIM:260300	HPO	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0002548	Parkinsonism with favorable response to dopaminergic medication			IEA	IEA							OMIM:260300	HPO:skoehler	Jun 20, 2010	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0003487	Babinski sign			IEA	IEA							OMIM:260300	HPO	Feb 17, 2009	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0003677	Slow progression			IEA	IEA							OMIM:260300	HPO:skoehler	Jun 19, 2010	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0002061	Lower limb spasticity			TAS	TAS							OMIM:260300	HPO:skoehler	Mar 31, 2013	
OMIM:260300	PARKINSONIAN-PYRAMIDAL SYNDROME					HP:0011462	Young adult onset			TAS	TAS							OMIM:260300	HPO:skoehler	Mar 31, 2013	
OMIM:260300	#260300 PARKINSON DISEASE 15, AUTOSOMAL RECESSIVE EARLY-ONSET; PARK15;;PARKINSONIAN-PYRAMIDAL SYNDROME; PKPS;;PALLIDOPYRAMIDAL SYNDROME;;PALLIDO-PYRAMIDAL SYNDROME					HP:0012407	Scissor gait			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > SCISSOR GAIT	OMIM:260300	HPO:skoehler	18.11.2013
