Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:606367	#606367 INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY				IL2RA	HP:0005403	T lymphocytopenia			PCS	PCS							pmid:9096364	HPO:skoehler	Jan 9, 2013	
OMIM:606367	#606367 INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY				IL2RA	HP:0002841	Recurrent fungal infections			PCS	PCS							pmid:9096364	HPO:probinson	Feb 23, 2013	
OMIM:606367	#606367 INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY				IL2RA	HP:0002718	Recurrent bacterial infections			PCS	PCS							pmid:9096364	HPO:probinson	Feb 23, 2013	
OMIM:606367	#606367 INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY				IL2RA	HP:0004429	Recurrent viral infections			PCS	PCS							pmid:9096364	HPO:probinson	Feb 23, 2013	
OMIM:606367	#606367 INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY				IL2RA	HP:0002716	Lymphadenopathy			PCS	PCS							pmid:9096364	HPO:probinson	Feb 23, 2013	
OMIM:606367	#606367 INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY				IL2RA	HP:0002028	Chronic diarrhea			PCS	PCS							pmid:9096364	HPO:probinson	Feb 23, 2013	
OMIM:606367	#606367 INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY				IL2RA	HP:0001433	Hepatosplenomegaly			PCS	PCS							pmid:9096364	HPO:probinson	Feb 23, 2013	
OMIM:606367	#606367 INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY				IL2RA	HP:0002720	IgA deficiency			PCS	PCS							pmid:9096364	HPO:probinson	Feb 23, 2013	
OMIM:606367	#606367 INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY				IL2RA	HP:0000007	Autosomal recessive inheritance			PCS	PCS							pmid:9096364	HPO:probinson	Feb 23, 2013	
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0011473	Villous atrophy			IEA	IEA						OMIM-CS:ABDOMEN_GASTROINTESTINAL > VILLOUS ATROPHY	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0002240	Hepatomegaly			IEA	IEA						OMIM-CS:ABDOMEN_LIVER > HEPATOMEGALY	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0001744	Splenomegaly			IEA	IEA						OMIM-CS:ABDOMEN_SPLEEN > SPLENOMEGALY	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0000819	Diabetes mellitus			IEA	IEA	rare					OMIM-CS:ENDOCRINE FEATURES > DIABETES MELLITUS (IN SOME PATIENTS)	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0000821	Hypothyroidism			IEA	IEA	rare					OMIM-CS:ENDOCRINE FEATURES > HYPOTHYROIDISM (IN SOME PATIENTS)	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0001890	Autoimmune hemolytic anemia			IEA	IEA						OMIM-CS:HEMATOLOGY > AUTOIMMUNE HEMOLYTIC ANEMIA	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0002960	Autoimmunity			IEA	IEA	rare					OMIM-CS:IMMUNOLOGY > AUTOIMMUNE DISORDERS (IN SOME PATIENTS)	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0002721	Immunodeficiency			IEA	IEA						OMIM-CS:IMMUNOLOGY > IMMUNODEFICIENCY	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0002205	Recurrent respiratory infections			IEA	IEA						OMIM-CS:RESPIRATORY > RECURRENT RESPIRATORY INFECTIONS	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0001596	Alopecia			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_HAIR > ALOPECIA	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0000964	Eczema			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_SKIN > DERMATITIS	OMIM:606367	HPO:skoehler	02.08.2015
OMIM:606367	#606367 IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41;;INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;;IL2RA DEFICIENCY;;CD25 DEFICIENCY					HP:0000964	Eczema			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_SKIN > ECZEMA	OMIM:606367	HPO:skoehler	02.08.2015
