Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0011703	Sinus tachycardia			IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > SINUS TACHYCARDIA	OMIM:614008	HPO:skoehler	Oct 17, 2012	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0004322	Short stature			IEA	IEA						OMIM-CS:GROWTH_HEIGHT > SHORT STATURE	OMIM:614008	HPO:skoehler	Oct 17, 2012	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0001508	Failure to thrive			IEA	IEA						OMIM-CS:GROWTH_OTHER > FAILURE TO THRIVE	OMIM:614008	HPO:skoehler	Oct 17, 2012	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0000520	Proptosis			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > PROPTOSIS	OMIM:614008	HPO:skoehler	Oct 17, 2012	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0000653	Sparse eyelashes			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > SPARSE EYELASHES	OMIM:614008	HPO:skoehler	Oct 17, 2012	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0000347	Micrognathia			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > MICROGNATHIA	OMIM:614008	HPO:skoehler	Oct 17, 2012	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0000272	Malar flattening			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > MIDFACE HYPOPLASIA	OMIM:614008	HPO:skoehler	Oct 17, 2012	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0000444	Convex nasal ridge			IEA	IEA						OMIM-CS:HEAD AND NECK_NOSE > CONVEX NASAL RIDGE	OMIM:614008	HPO:skoehler	Oct 17, 2012	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0000678	Dental crowding			IEA	IEA						OMIM-CS:HEAD AND NECK_TEETH > DENTAL CROWDING	OMIM:614008	HPO:skoehler	Oct 17, 2012	
OMIM:614008	#614008 NESTOR-GUILLERMO PROGERIA SYNDROME; NGPS;;PROGERIA SYNDROME, CHILDHOOD-ONSET, WITH OSTEOLYSIS; PSCOO					HP:0000007	Autosomal recessive inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL RECESSIVE	OMIM:614008	HPO:skoehler	Oct 17, 2012	
