Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0000347	Micrognathia			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0000508	Ptosis			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0001423	X-linked dominant inheritance			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0001561	Polyhydramnios			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0001612	Weak cry			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0001644	Dilated cardiomyopathy			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0002033	Poor suck			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0002098	Respiratory distress			TAS	TAS							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0002747	Respiratory insufficiency due to muscle weakness			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0003198	Myopathy			TAS	TAS							OMIM:300580	HPO:probinson	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0003755	Type 1 fibers relatively smaller than type 2 fibers			TAS	TAS							OMIM:300580	HPO:probinson	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0004322	Short stature			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0004325	Decreased body weight			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0004661	Frontalis muscle weakness			IEA	IEA							OMIM:300580	HPO	17.02.2009	
OMIM:300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION 2, X-LINKED					HP:0008935	Generalized neonatal hypotonia			TAS	TAS							OMIM:300580	HPO:probinson	17.02.2009	
OMIM:300580	%300580 MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION, X-LINKED; CFTDX					HP:0010628	Facial palsy			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > FACIAL WEAKNESS	OMIM:300580	HPO:skoehler	26.04.2015
