Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000156	High-arched palate			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000169	Gingival fibromatosis			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000232	Everted lower lip vermilion			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000256	Macrocephaly			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000316	Hypertelorism			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000425	Flattened nasal bridge			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000494	Downslanted palpebral fissures			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000574	Thick eyebrow			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000664	Synophrys			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000696	Delayed eruption of permanent teeth			TAS	TAS							OMIM:228560	HPO:probinson	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0000951	Abnormality of the skin			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0004497	Hypoplastic nostrils			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0006335	Persistence of primary teeth			IEA	IEA							OMIM:228560	HPO	Feb 17, 2009	
OMIM:228560	228560 FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0012471	Thick vermilion border			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > PROMINENT LIPS	OMIM:228560	HPO:skoehler	26.11.2014
OMIM:228560	228560 FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0040079	Irregular dentition			IEA	IEA						OMIM-CS:HEAD AND NECK_TEETH > IRREGULAR DENTITION	OMIM:228560	HPO:skoehler	26.11.2014
OMIM:228560	228560 FIBROMATOSIS, GINGIVAL, WITH DISTINCTIVE FACIES					HP:0001999	Abnormal facial shape			IEA	IEA						Disease name contained:val, with distinctive faciesgingival f	OMIM:228560	HPO:skoehler	19.01.2015
