Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:601088	CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000272	Malar hypoplasia			IEA	IEA							OMIM:601088	HPO	17.02.2009	
OMIM:601088	CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000407	Sensorineural hearing impairment			IEA	IEA							OMIM:601088	HPO	17.02.2009	
OMIM:601088	CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000519	Congenital cataract			IEA	IEA							OMIM:601088	HPO	17.02.2009	
OMIM:601088	CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0001249	Intellectual disability			IEA	IEA							OMIM:601088	HPO	17.02.2009	
OMIM:601088	CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0002974	Radioulnar synostosis			IEA	IEA							OMIM:601088	HPO	17.02.2009	
OMIM:601088	CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0004322	Short stature	HP:0003593	Infantile onset	IEA	IEA							OMIM:601088	HPO	17.02.2009	
OMIM:601088	CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000319	Smooth philtrum			TAS	TAS							OMIM:601088	HPO:probinson	01.05.2012	
OMIM:601088	CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000343	Long philtrum			TAS	TAS							OMIM:601088	HPO:probinson	01.05.2012	
OMIM:601088	CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000289	Wide philtrum			TAS	TAS							OMIM:601088	HPO:probinson	01.05.2012	
OMIM:601088	601088 CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0012368	Flat face			IEA	IEA						OMIM-CS:FACIES > FLAT FACE	OMIM:601088	HPO:skoehler	22.10.2013
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0001701	Pericarditis			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_HEART > PERICARDITIS (RARE)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000369	Low-set ears			IEA	IEA						OMIM-CS:HEAD AND NECK_EARS > LOW-SET EARS	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000358	Posteriorly rotated ears			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > POSTERIORLY ROTATED EARS (IN SOME PATIENTS)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0008551	Microtia			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EARS > SMALL EARS (IN SOME PATIENTS)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0011229	Broad eyebrow			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > BROAD EYEBROWS	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000494	Downslanted palpebral fissures			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > DOWNSLANTING PALPEBRAL FISSURES (IN SOME PATIENTS)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000316	Hypertelorism			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > HYPERTELORISM	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000508	Ptosis			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > PTOSIS	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000582	Upslanted palpebral fissure			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_EYES > UPSLANTING PALPEBRAL FISSURES (IN SOME PATIENTS)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0004484	Craniofacial asymmetry			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_FACE > CRANIOFACIAL ASYMMETRY (IN SOME PATIENTS)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000348	High forehead			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > HIGH FOREHEAD	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0011800	Midface retrusion			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > MIDFACE HYPOPLASIA	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000303	Mandibular prognathia			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_FACE > PROGNATHISM (IN SOME PATIENTS)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000248	Brachycephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > BRACHYCEPHALY	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000270	Delayed cranial suture closure			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_HEAD > DELAYED CLOSURE OF FONTANEL (IN SOME PATIENTS)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000160	Narrow mouth			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > SMALL MOUTH	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000219	Thin upper lip vermilion			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > THIN UPPER LIP	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000431	Wide nasal bridge			IEA	IEA						OMIM-CS:HEAD AND NECK_NOSE > BROAD NASAL ROOT	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0005280	Depressed nasal bridge			IEA	IEA						OMIM-CS:HEAD AND NECK_NOSE > FLAT NASAL BRIDGE	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0003196	Short nose			IEA	IEA						OMIM-CS:HEAD AND NECK_NOSE > SHORT NOSE	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0000164	Abnormality of the teeth			IEA	IEA	rare					OMIM-CS:HEAD AND NECK_TEETH > DENTAL ANOMALIES (RARE)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0002059	Cerebral atrophy			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > CEREBRAL ATROPHY (RARE)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0007099	Arnold-Chiari type I malformation			IEA	IEA	rare					OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > CHIARI I MALFORMATION (RARE)	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0001250	Seizures			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > SEIZURES	OMIM:601088	HPO:skoehler	22.06.2015
OMIM:601088	#601088 AYME-GRIPP SYNDROME; AYGRP;;CATARACTS, CONGENITAL, WITH SENSORINEURAL DEAFNESS, DOWN SYNDROME-LIKEFACIAL APPEARANCE, SHORT STATURE, AND MENTAL RETARDATION					HP:0001156	Brachydactyly syndrome			IEA	IEA	rare					OMIM-CS:SKELETAL_HANDS > BRACHYDACTYLY (IN SOME PATIENTS)	OMIM:601088	HPO:skoehler	22.06.2015
