Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0011968	Feeding difficulties			IEA	IEA						OMIM-CS:ABDOMEN > FEEDING DIFFICULTIES	OMIM:611523	HPO:skoehler	Oct 17, 2012	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0001508	Failure to thrive			IEA	IEA						OMIM-CS:GROWTH_OTHER > FAILURE TO THRIVE	OMIM:611523	HPO:skoehler	Oct 17, 2012	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0000490	Deeply set eye			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > DEEP-SET EYES	OMIM:611523	HPO:skoehler	Oct 17, 2012	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0000341	Narrow forehead			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > BITEMPORAL NARROWING	OMIM:611523	HPO:skoehler	Oct 17, 2012	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0000189	Narrow palate			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > NARROW PALATE	OMIM:611523	HPO:skoehler	Oct 17, 2012	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0000426	Prominent nasal bridge			IEA	IEA						OMIM-CS:HEAD AND NECK_NOSE > PROMINENT NASAL BRIDGE	OMIM:611523	HPO:skoehler	Oct 17, 2012	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0000007	Autosomal recessive inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL RECESSIVE	OMIM:611523	HPO:skoehler	Oct 17, 2012	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0002490	Increased CSF lactate			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > INCREASED CSF LACTATE	OMIM:611523	HPO:skoehler	Oct 17, 2012	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0002151	Increased serum lactate			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > INCREASED SERUM LACTATE	OMIM:611523	HPO:skoehler	Oct 17, 2012	
OMIM:611523	#611523 PONTOCEREBELLAR HYPOPLASIA, TYPE 6; PCH6;;ENCEPHALOPATHY, FATAL INFANTILE, WITH MITOCHONDRIAL RESPIRATORY CHAINDEFECTS					HP:0003676	Progressive disorder			IEA	IEA						OMIM-CS:MISCELLANEOUS > PROGRESSIVE DISORDER	OMIM:611523	HPO:skoehler	Oct 17, 2012	
