Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:277320	HPO	Feb 17, 2009	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0000508	Ptosis			IEA	IEA							OMIM:277320	HPO	Feb 17, 2009	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0000602	Ophthalmoplegia			IEA	IEA							OMIM:277320	HPO	Feb 17, 2009	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0001939	Abnormality of metabolism/homeostasis			IEA	IEA							OMIM:277320	HPO	Feb 17, 2009	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0002027	Abdominal pain			IEA	IEA							OMIM:277320	HPO:skoehler	Jun 20, 2010	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0002578	Gastroparesis			TAS	TAS							OMIM:277320	HPO	Feb 17, 2009	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0003270	Abdominal distention			IEA	IEA							OMIM:277320	HPO	Feb 17, 2009	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0004395	Malnutrition			IEA	IEA							OMIM:277320	HPO	Feb 17, 2009	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0005203	Spontaneous esophageal perforation			IEA	IEA							OMIM:277320	HPO	Feb 17, 2009	
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0009830	Peripheral neuropathy			IEA	IEA							OMIM:277320	HPO:skoehler	Jun 20, 2010
OMIM:277320	VISCERAL MYOPATHY, FAMILIAL, WITH EXTERNAL OPHTHALMOPLEGIA					HP:0000544	External ophthalmoplegia			TAS	TAS						Disease name contained:myopathy - familial external ophthalmoplegia|http://www.orpha.ne	OMIM:277320	HPO:skoehler	21.01.2015
	
