Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:219900	HPO	Feb 17, 2009	
OMIM:219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE					HP:0000093	Proteinuria			IEA	IEA							OMIM:219900	HPO	Feb 17, 2009	
OMIM:219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE					HP:0000531	Corneal crystals			IEA	IEA							OMIM:219900	HPO	Feb 17, 2009	
OMIM:219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE					HP:0001507	Growth abnormality			IEA	IEA							OMIM:219900	HPO	Feb 17, 2009	
OMIM:219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE					HP:0002748	Rickets			IEA	IEA							OMIM:219900	HPO	Feb 17, 2009	
OMIM:219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE					HP:0003358	Elevated intracellular cystine			IEA	IEA							OMIM:219900	HPO	Feb 17, 2009	
OMIM:219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE					HP:0003621	Juvenile onset			TAS	TAS							OMIM:219900	HPO:probinson 	Feb 17, 2009	
OMIM:219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE					HP:0003774	Stage 5 chronic kidney disease			IEA	IEA							OMIM:219900	HPO	Feb 17, 2009	
OMIM:219900	CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE					HP:0007814	Retinal pigment epithelial mottling			TAS	TAS							pmid:6866439	HPO:probinson	Jul 19, 2015	
OMIM:219900	#219900 CYSTINOSIS, LATE-ONSET JUVENILE OR ADOLESCENT NEPHROPATHIC TYPE;;CYSTINOSIS, INTERMEDIATE					HP:0000488	Retinopathy			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > RETINOPATHY	OMIM:219900	HPO:skoehler	26.07.2015
