Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0001644	Dilated cardiomyopathy			IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > DILATED CARDIOMYOPATHY	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0004322	Short stature			IEA	IEA						OMIM-CS:GROWTH_HEIGHT > SHORT STATURE	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0000164	Abnormality of the teeth			IEA	IEA						OMIM-CS:HEAD AND NECK_TEETH > ABNORMAL DENTITION	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0001915	Aplastic anemia			IEA	IEA						OMIM-CS:HEMATOLOGY > APLASTIC ANEMIA	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0005528	Bone marrow hypocellularity			IEA	IEA						OMIM-CS:HEMATOLOGY > BONE MARROW FAILURE	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0001882	Leukopenia			IEA	IEA						OMIM-CS:HEMATOLOGY > LEUKOPENIA	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0001876	Pancytopenia			IEA	IEA						OMIM-CS:HEMATOLOGY > PANCYTOPENIA	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0001873	Thrombocytopenia			IEA	IEA						OMIM-CS:HEMATOLOGY > THROMBOCYTOPENIA	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0000006	Autosomal dominant inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL DOMINANT	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0000007	Autosomal recessive inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL RECESSIVE	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0003743	Genetic anticipation			IEA	IEA						OMIM-CS:MISCELLANEOUS > GENETIC ANTICIPATION	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0002206	Pulmonary fibrosis			IEA	IEA						OMIM-CS:RESPIRATORY_LUNG > PULMONARY FIBROSIS	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0000939	Osteoporosis			IEA	IEA						OMIM-CS:SKELETAL > OSTEOPOROSIS	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0002216	Premature graying of hair			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_HAIR > PREMATURE GRAYING	OMIM:613989	HPO:skoehler	Oct 17, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0002028	Chronic diarrhea			IEA	IEA						OMIM-CS:ABDOMEN_GASTROINTESTINAL > CHRONIC DIARRHEA (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0002043	Esophageal stricture			IEA	IEA						OMIM-CS:ABDOMEN_GASTROINTESTINAL > ESOPHAGEAL STRICTURE (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0001508	Failure to thrive			IEA	IEA						OMIM-CS:GROWTH_OTHER > FAILURE TO THRIVE (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0000252	Microcephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > MICROCEPHALY (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0003812	Phenotypic variability			IEA	IEA						OMIM-CS:MISCELLANEOUS > HIGHLY VARIABLE PHENOTYPE AND SEVERITY, EVEN WITHIN FAMILIES	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0001321	Cerebellar hypoplasia			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > CEREBELLAR HYPOPLASIA (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0001263	Global developmental delay			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > DEVELOPMENTAL DELAY (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0010885	Aseptic necrosis			IEA	IEA						OMIM-CS:SKELETAL_LIMBS > AVASCULAR NECROSIS OF THE HIP (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0002164	Nail dysplasia			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_NAILS > NAIL DYSTROPHY (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0000972	Palmoplantar hyperkeratosis			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_SKIN > HYPERKERATOSIS OF THE PALMS (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0007427	Reticulated skin pigmentation			IEA	IEA						OMIM-CS:SKIN, NAILS, HAIR_SKIN > RETICULATED PIGMENTATION (SEEN IN RECESSIVE FORM)	OMIM:613989	HPO:skoehler	Nov 18, 2012	
OMIM:613989	#613989 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 2; DKCA2DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE, 4, INCLUDED; DKCB4, INCLUDED					HP:0012227	Urethral stricture			IEA	IEA						OMIM-CS:GENITOURINARY_EXTERNAL GENITALIA, MALES > URETHRAL STRICTURE	OMIM:613989	HPO:skoehler	02.04.2013
