Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0000006	Autosomal dominant inheritance			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0000851	Congenital hypothyroidism			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0001251	Ataxia			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0001252	Muscular hypotonia			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0001260	Dysarthria			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0001266	Choreoathetosis			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0001270	Motor delay			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0002205	Recurrent respiratory infections			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0002643	Neonatal respiratory distress			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0002925	Thyroid-stimulating hormone excess			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0003577	Congenital onset			IEA	IEA							OMIM:610978	HPO	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0002355	Difficulty walking			TAS	TAS							OMIM:610978	HPO:probinson	Feb 17, 2009	
OMIM:610978	CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESSCHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0008223	Compensated hypothyroidism			TAS	TAS							OMIM:610978	HPO:skoehler	Feb 17, 2009	
OMIM:610978	#610978 CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESS;;BRAIN-LUNG-THYROID SYNDROMECHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0002098	Respiratory distress	HP:0003623	Neonatal onset	IEA	IEA						OMIM-CS:RESPIRATORY > RESPIRATORY DISTRESS, NEONATAL	OMIM:610978	HPO:skoehler	06.06.2013
OMIM:610978	#610978 CHOREOATHETOSIS, HYPOTHYROIDISM, AND NEONATAL RESPIRATORY DISTRESS;;BRAIN-LUNG-THYROID SYNDROMECHOREOATHETOSIS AND CONGENITAL HYPOTHYROIDISM, INCLUDED					HP:0001263	Global developmental delay			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > GLOBAL DEVELOPMENTAL DELAY	OMIM:610978	HPO:skoehler	04.04.2014
