Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0000272	Malar flattening			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0000303	Mandibular prognathia			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0000939	Osteoporosis			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0000973	Cutis laxa			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0002645	Wormian bones			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0002659	Increased susceptibility to fractures			TAS	TAS							OMIM:231070	HPO:probinson	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0002953	Vertebral compression fractures			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0003510	Severe short stature			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0004568	Beaking of vertebral bodies			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	GERODERMA OSTEODYSPLASTICA					HP:0004586	Biconcave vertebral bodies			IEA	IEA							OMIM:231070	HPO	17.02.2009	
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0000490	Deeply set eye			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > DEEP-SET EYES	OMIM:231070	HPO:skoehler	22.02.2015
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0000327	Hypoplasia of the maxilla			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > MAXILLARY HYPOPLASIA	OMIM:231070	HPO:skoehler	22.02.2015
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0000252	Microcephaly			IEA	IEA						OMIM-CS:HEAD AND NECK_HEAD > MICROCEPHALY	OMIM:231070	HPO:skoehler	22.02.2015
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0000704	Periodontitis			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > PERIODONTAL DISEASE	OMIM:231070	HPO:skoehler	22.02.2015
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0000164	Abnormality of the teeth			IEA	IEA				NOT	NOT	OMIM-CS:HEAD AND NECK_TEETH > NORMAL TEETH	OMIM:231070	HPO:skoehler	22.02.2015
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0003160	Abnormal isoelectric focusing of serum transferrin			IEA	IEA				NOT	NOT	OMIM-CS:LABORATORY ABNORMALITIES > NORMAL ISOELECTRIC FOCUSING OF SERUM TRANSFERRIN	OMIM:231070	HPO:skoehler	22.02.2015
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0001249	Intellectual disability			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > MENTAL RETARDATION	OMIM:231070	HPO:skoehler	22.02.2015
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0000750	Delayed speech and language development			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > SPEECH DELAY	OMIM:231070	HPO:skoehler	22.02.2015
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0000938	Osteopenia			IEA	IEA						OMIM-CS:SKELETAL > OSTEOPENIA	OMIM:231070	HPO:skoehler	22.02.2015
OMIM:231070	#231070 GERODERMA OSTEODYSPLASTICUM; GO;;GERODERMIA OSTEODYSPLASTICA;;WALT DISNEY DWARFISM					HP:0012385	Camptodactyly			IEA	IEA						OMIM-CS:SKELETAL_HANDS > CAMPTODACTYLY	OMIM:231070	HPO:skoehler	22.02.2015
