Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0000565	Esotropia			ITM	ITM							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0000846	Adrenal insufficiency			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0000939	Osteoporosis			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0001249	Intellectual disability			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0001259	Coma			IEA	IEA							OMIM:307030	HPO:skoehler	Jun 20, 2010	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0001417	X-linked inheritance			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0001510	Growth delay			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0001942	Metabolic acidosis			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0002572	Episodic vomiting			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0002756	Pathologic fracture			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0003198	Myopathy			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	HYPERGLYCEROLEMIA					HP:0008182	Adrenocortical hypoplasia			IEA	IEA							OMIM:307030	HPO	Feb 17, 2009	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0004322	Short stature			IEA	IEA						OMIM-CS:GROWTH_HEIGHT > SHORT STATURE	OMIM:307030	HPO:skoehler	Oct 17, 2012	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0001518	Small for gestational age			IEA	IEA						OMIM-CS:GROWTH_OTHER > SMALL FOR GESTATIONAL AGE	OMIM:307030	HPO:skoehler	Oct 17, 2012	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0000369	Low-set ears			IEA	IEA						OMIM-CS:HEAD AND NECK_EARS > LOW-SET EARS	OMIM:307030	HPO:skoehler	Oct 17, 2012	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0000316	Hypertelorism			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > HYPERTELORISM	OMIM:307030	HPO:skoehler	Oct 17, 2012	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0002007	Frontal bossing			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > FRONTAL BOSSING	OMIM:307030	HPO:skoehler	Oct 17, 2012	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0002714	Downturned corners of mouth			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > DOWNTURNED MOUTH	OMIM:307030	HPO:skoehler	Oct 17, 2012	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0001943	Hypoglycemia			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > HYPOGLYCEMIA	OMIM:307030	HPO:skoehler	Oct 17, 2012	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0001993	Ketoacidosis			IEA	IEA						OMIM-CS:METABOLIC FEATURES > KETOACIDOSIS	OMIM:307030	HPO:skoehler	Oct 17, 2012	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0001263	Global developmental delay			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > PSYCHOMOTOR RETARDATION	OMIM:307030	HPO:skoehler	Oct 17, 2012	
OMIM:307030	#307030 HYPERGLYCEROLEMIA;;GLYCEROL KINASE DEFICIENCY;;GK DEFICIENCY; GKD;;GK1 DEFICIENCY					HP:0001250	Seizures			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > SEIZURES	OMIM:307030	HPO:skoehler	Oct 17, 2012	
