Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000006	Autosomal dominant inheritance			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000156	High-arched palate			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000210	Micrognathia			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000268	Dolichocephaly			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000272	Malar flattening			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000278	Retrognathia			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000494	Downslanted palpebral fissures			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000541	Retinal detachment			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000545	Myopia			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000663	Enophthalmos			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000678	Dental crowding			IEA	IEA									Apr 24, 2012	
MIM:154700	MARFAN SYNDROME	MIM:134797	FIBRILLIN 1		FBN1	HP:0000767	Pectus excavatum			IEA	IEA									Apr 24, 2012	
