Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000204	Cleft upper lip			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000272	Malar flattening			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000341	Narrow forehead			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000486	Strabismus			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000508	Ptosis			TAS	TAS							OMIM:268850	HPO:probinson	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000601	Hypotelorism			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000767	Pectus excavatum			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0001016	Excessive wrinkled skin (palms and soles)			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0001249	Intellectual disability			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0004322	Short stature			IEA	IEA							OMIM:268850	HPO	17.02.2009	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000252	Microcephaly			TAS	TAS							OMIM:268850	HPO:probinson	01.05.2012	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000248	Brachycephaly			TAS	TAS							OMIM:268850	HPO:probinson	01.05.2012	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000276	Long face			TAS	TAS							OMIM:268850	HPO:probinson	01.05.2012	
OMIM:268850	SAO PAULO MCA/MR SYNDROME					HP:0000275	Narrow face			TAS	TAS							OMIM:268850	HPO:probinson	01.05.2012	
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0000365	Hearing impairment			IEA	IEA						OMIM-CS:HEAD AND NECK_EARS > DEAFNESS	OMIM:268850	HPO:skoehler	27.03.2013
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0000625	Cleft eyelid			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > CLEFT EYELID	OMIM:268850	HPO:skoehler	27.03.2013
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0000612	Iris coloboma			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > COLOBOMA OF THE IRIS	OMIM:268850	HPO:skoehler	27.03.2013
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0000490	Deeply set eye			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > DEEP-SET EYES	OMIM:268850	HPO:skoehler	27.03.2013
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0000494	Downslanted palpebral fissures			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > DOWNSLANTED PALPEBRAL FISSURES	OMIM:268850	HPO:skoehler	27.03.2013
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0000565	Esotropia			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > ESOTROPIA	OMIM:268850	HPO:skoehler	27.03.2013
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0009891	Hypoplasia of the supraorbital ridges			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > HYPOPLASTIC SUPRAORBITAL RIDGES	OMIM:268850	HPO:skoehler	27.03.2013
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0000639	Nystagmus			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > NYSTAGMUS	OMIM:268850	HPO:skoehler	27.03.2013
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0000336	Prominent supraorbital ridges			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > PROMINENT SUPRAORBITAL RIDGES	OMIM:268850	HPO:skoehler	27.03.2013
OMIM:268850	%268850 RICHIERI-COSTA/GUION-ALMEIDA SYNDROME;;SHORT STATURE, MENTAL RETARDATION, EYE ANOMALIES, AND CLEFT LIP/PALATE;;SAO PAULO MCA/MR SYNDROME					HP:0000175	Cleft palate			IEA	IEA						OMIM-CS:HEAD AND NECK_MOUTH > CLEFT PALATE	OMIM:268850	HPO:skoehler	27.03.2013
