Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0000006	Autosomal dominant inheritance			TAS	TAS							OMIM:609115	HPO:skoehler	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0003198	Myopathy			TAS	TAS							OMIM:609115	HPO:skoehler	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0003236	Elevated serum creatine phosphokinase			TAS	TAS							OMIM:609115	HPO:skoehler	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0003547	Shoulder girdle muscle weakness			IEA	IEA							OMIM:609115	HPO	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0003581	Adult onset			IEA	IEA							OMIM:609115	HPO	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0003677	Slow progression			IEA	IEA							OMIM:609115	HPO	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0003749	Pelvic girdle muscle weakness			IEA	IEA							OMIM:609115	HPO	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0006203	Decreased movement range in interphalangeal joints			IEA	IEA							OMIM:609115	HPO	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0006785	Limb-girdle muscular dystrophy			TAS	TAS							OMIM:609115	HPO:skoehler	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0008116	Flexion limitation of toes			IEA	IEA							OMIM:609115	HPO	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0008948	Proximal upper limb amyotrophy			IEA	IEA							OMIM:609115	HPO	Feb 17, 2009	
OMIM:609115	LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G					HP:0008956	Proximal lower limb amyotrophy			IEA	IEA							OMIM:609115	HPO	Feb 17, 2009	
OMIM:609115	#609115 LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G; LGMD1G					HP:0000518	Cataract			IEA	IEA						OMIM-CS:HEAD AND NECK_EYES > CATARACTS	OMIM:609115	HPO:skoehler	26.11.2014
OMIM:609115	#609115 LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G; LGMD1G					HP:0003805	Rimmed vacuoles			IEA	IEA						OMIM-CS:MUSCLE, SOFT TISSUE > RIMMED VACUOLES	OMIM:609115	HPO:skoehler	26.11.2014
