Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0000023	Inguinal hernia			IEA	IEA						OMIM-CS:ABDOMEN_EXTERNAL > INGUINAL HERNIA	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0011968	Feeding difficulties			IEA	IEA						OMIM-CS:ABDOMEN_GASTROINTESTINAL > POOR FEEDING	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0001510	Growth delay			IEA	IEA						OMIM-CS:GROWTH_OTHER > POOR GROWTH	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0001903	Anemia			IEA	IEA						OMIM-CS:HEMATOLOGY > ANEMIA	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0001875	Neutropenia			IEA	IEA						OMIM-CS:HEMATOLOGY > NEUTROPENIA	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0001873	Thrombocytopenia			IEA	IEA						OMIM-CS:HEMATOLOGY > THROMBOCYTOPENIA	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0000007	Autosomal recessive inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL RECESSIVE	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0003145	Decreased adenosylcobalamin			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > DECREASED ADENOSYLCOBALAMIN (ADOCBL)	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0002160	Hyperhomocystinemia			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > HOMOCYSTINEMIA	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0002156	Homocystinuria			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > HOMOCYSTINURIA	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0002912	Methylmalonic acidemia			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > METHYLMALONIC ACIDEMIA	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0012120	Methylmalonic aciduria			IEA	IEA						OMIM-CS:LABORATORY ABNORMALITIES > METHYLMALONIC ACIDURIA	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0003577	Congenital onset			IEA	IEA						OMIM-CS:MISCELLANEOUS > ONSET AT BIRTH	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0002533	Abnormal posturing			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > ABNORMAL POSTURING	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0001254	Lethargy			IEA	IEA						OMIM-CS:NEUROLOGIC_CENTRAL NERVOUS SYSTEM > LETHARGY	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0002789	Tachypnea			IEA	IEA						OMIM-CS:RESPIRATORY > TACHYPNEA	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0002020	Gastroesophageal reflux			IEA	IEA	rare					OMIM-CS:ABDOMEN_GASTROINTESTINAL > GASTROESOPHAGEAL REFLUX (1 PATIENT)	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0001631	Defect in the atrial septum			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_HEART > ATRIAL SEPTAL DEFECT (1 PATIENT)	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0001680	Coarctation of aorta			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_HEART > COARCTATION OF THE AORTA (1 PATIENT)	OMIM:614857	HPO:skoehler	Nov 16, 2012	
OMIM:614857	#614857 METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ					HP:0002092	Pulmonary hypertension			IEA	IEA	rare					OMIM-CS:CARDIOVASCULAR_VASCULAR > PULMONARY HYPERTENSION (1 PATIENT)	OMIM:614857	HPO:skoehler	Nov 16, 2012	
