Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0003220	Abnormality of chromosome stability			PCS	PCS							pmid:21910217	HPO:probinson	Jan 12, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0001419	X-linked recessive inheritance			PCS	PCS							pmid:21910217	HPO:probinson	Sep 14, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0002119	Ventriculomegaly			PCS	PCS							pmid:21910217	HPO:probinson	Sep 14, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0009777	Absent thumb			PCS	PCS							pmid:21910217	HPO:probinson	Sep 14, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0003974	Absent radius			PCS	PCS							pmid:21910217	HPO:probinson	Sep 14, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0003468	Abnormality of the vertebrae			PCS	PCS							pmid:21910217	HPO:probinson	Sep 14, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0000104	Renal agenesis			PCS	PCS							pmid:21910217	HPO:probinson	Sep 14, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0001510	Growth delay			PCS	PCS							pmid:21910217	HPO:probinson	Sep 14, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0002575	Tracheoesophageal fistula			PCS	PCS	Rare						pmid:21910217	HPO:probinson	Sep 14, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0006525	Lung segmentation defects			PCS	PCS	Rare						pmid:21910217	HPO:probinson	Sep 14, 2013	
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2				FAAP95	HP:0000369	Low-set ears			PCS	PCS							pmid:21910217	HPO:probinson	Sep 14, 2013
OMIM:300514	#300514 FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB;;FACB;;FANCONI PANCYTOPENIA, TYPE 2; FA2					HP:0001903	Anemia			IEA	IEA						Disease name contained:#300514 fanconi anemia, complementation gr	OMIM:300514	HPO:skoehler	21.01.2015
	
