Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:606408	EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY					HP:0000007	Autosomal recessive inheritance			IEA	IEA							OMIM:606408	HPO:skoehler	Jun 19, 2010	
OMIM:606408	EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY					HP:0000974	Hyperextensible skin			IEA	IEA							OMIM:606408	HPO:skoehler	Jun 19, 2010	
OMIM:606408	EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY					HP:0000977	Soft skin			IEA	IEA							OMIM:606408	HPO:skoehler	Jun 19, 2010	
OMIM:606408	EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY					HP:0000978	Bruising susceptibility			IEA	IEA							OMIM:606408	HPO:skoehler	Jun 19, 2010	
OMIM:606408	EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY					HP:0001382	Joint hypermobility			IEA	IEA							OMIM:606408	HPO:skoehler	Jun 19, 2010	
OMIM:606408	EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY					HP:0002829	Arthralgia			IEA	IEA							OMIM:606408	HPO:skoehler	Jun 19, 2010	
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0002036	Hiatus hernia			IEA	IEA						OMIM-CS:ABDOMEN_GASTROINTESTINAL > HIATUS HERNIA	OMIM:606408	HPO:skoehler	Oct 17, 2012	
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0001634	Mitral valve prolapse			IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > MITRAL VALVE PROLAPSE (SEEN IN PATIENTS WITH CONTIGUOUS GENE DEFECT)	OMIM:606408	HPO:skoehler	Nov 21, 2012	
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0000076	Vesicoureteral reflux			IEA	IEA						OMIM-CS:GENITOURINARY_BLADDER > VESICOURETERAL REFLUX (SEEN IN PATIENTS WITH CONTIGUOUS GENE DEFECT)	OMIM:606408	HPO:skoehler	Nov 21, 2012	
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0000061	Ambiguous genitalia, female			IEA	IEA						OMIM-CS:GENITOURINARY_EXTERNAL GENITALIA, FEMALE > AMBIGUOUS GENITALIA (SEEN IN PATIENTS WITH CONTIGUOUS GENE DEFECT)	OMIM:606408	HPO:skoehler	Nov 21, 2012	
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0000813	Bicornuate uterus			IEA	IEA						OMIM-CS:GENITOURINARY_INTERNAL GENITALIA, FEMALE > BICORNUATE UTERUS (SEEN IN PATIENTS WITH CONTIGUOUS GENE DEFECT)	OMIM:606408	HPO:skoehler	Nov 21, 2012	
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0100699	Scarring			IEA	IEA				NOT	NOT	OMIM-CS:SKIN, NAILS, HAIR_SKIN > NO SCARRING	OMIM:606408	HPO:skoehler	Nov 21, 2012	
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0100699	Scarring			IEA	IEA				NOT	NOT	OMIM-CS:SKIN, NAILS, HAIR_SKIN > NO SCARRING	OMIM:606408	HPO:skoehler	30.05.2013
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0009025	Increased connective tissue			IEA	IEA	rare					OMIM-CS:MUSCLE, SOFT TISSUE > INCREASED CONNECTIVE TISSUE (IN SOME PATIENTS)	OMIM:606408	HPO:skoehler	06.10.2014
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0003555	Muscle fiber splitting			IEA	IEA	rare					OMIM-CS:MUSCLE, SOFT TISSUE > MUSCLE FIBER SPLITTING (IN SOME PATIENTS)	OMIM:606408	HPO:skoehler	06.10.2014
OMIM:606408	#606408 EHLERS-DANLOS-LIKE SYNDROME DUE TO TENASCIN-X DEFICIENCY;;EDS DUE TO TNX DEFICIENCY;;TNX DEFICIENCY					HP:0007126	Proximal amyotrophy			IEA	IEA	rare					OMIM-CS:MUSCLE, SOFT TISSUE > PROXIMAL MUSCLE ATROPHY (IN SOME PATIENTS)	OMIM:606408	HPO:skoehler	06.10.2014
