Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Mode of Inheritance ID	Mode of Inheritance Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Description	Orthologs	Pub	Date Created	
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0000007	Autosomal recessive inheritance											PCS						PMID:11113916; PMID:14684694		
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0000256	Macrocephaly	FMA:46565	Skull	PATO:0000586	increased size							PCS	7/12					PMID:12210303; PMID:18382993		
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0000327	Maxillary hypoplasia	FMA:9711	Maxilla	PATO:0000645	hypoplastic							PCS	3/12					PMID:3377005; PMID:8213919; PMID:12210303		
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0000774	Narrow chest	FMA:9576	Thorax	PATO:0000599	decreased width							PCS	7/12					PMID:3377005; PMID:11180245; PMID:12210303; PMID:14684697; PMID:18382993		
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0001162	Postaxial polydactyly (hands)	FMA:85518	Digit	PATO:0000470	present in greater numbers in organism							PCS	3/12					PMID:8213919; PMID:12618959; PMID:14684697		
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0003107	Abnormality of cholesterol metabolism											PCS	2/2			Elevated cholesta-8,14-dien-3-beta-ol (earlier pub was the first to note the elevated reading; these were the only 2 pubs to check).		PMID:12618959; PMID:14684697		
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0009106	Abnormal ossification involving the bones of the pelvis											PCS	7/12					PMID:3377005; PMID:8213919; PMID:11180245; PMID:12210303; PMID:12618959; PMID:14684697		
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0002787	Tracheal calcifications	FMA:7394	Trachea	PATO:0001447	calcified							PCS	3/12					PMID:3377005; PMID:8213919; PMID:12210303		
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0002983	Micromelia											PCS	12/12					PMID:11113916; PMID:14684694		
MIM:215140	HYDROPS-ECTOPIC CALCIFICATION-MOTH-EATEN SKELETAL DYSPLASIA GREENBERG DYSPLASIA CHONDRODYSTROPHY, HYDROPIC AND PRENATALLY LETHAL TYPE MOTH-EATEN SKELETAL DYSPLASIA	MIM:600024	LAMIN B RECEPTOR	MIM:600024 / MIM:600024	LBR	HP:0004331	Decreased skull ossification	GO:0001503	ossification	PATO:0002018	decreased magnitude							PCS	5/12					PMID:3377005; PMID:8213919; PMID:11180245; PMID:12210303; PMID:14684697		
