Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0000023	Inguinal hernia			IEA	IEA						OMIM-CS:ABDOMEN_EXTERNAL FEATURES > INGUINAL HERNIA	OMIM:614052	HPO:skoehler	Oct 17, 2012	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0001537	Umbilical hernia			IEA	IEA						OMIM-CS:ABDOMEN_EXTERNAL FEATURES > UMBILICAL HERNIA	OMIM:614052	HPO:skoehler	Oct 17, 2012	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0001639	Hypertrophic cardiomyopathy			IEA	IEA						OMIM-CS:CARDIOVASCULAR_HEART > HYPERTROPHIC CARDIOMYOPATHY	OMIM:614052	HPO:skoehler	Oct 17, 2012	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0000047	Hypospadias			IEA	IEA						OMIM-CS:GENITOURINARY_EXTERNAL GENITALIA, MALE > HYPOSPADIAS	OMIM:614052	HPO:skoehler	Oct 17, 2012	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0000028	Cryptorchidism			IEA	IEA						OMIM-CS:GENITOURINARY_INTERNAL GENITALIA, MALE > CRYPTORCHIDISM	OMIM:614052	HPO:skoehler	Oct 17, 2012	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0001508	Failure to thrive			IEA	IEA						OMIM-CS:GROWTH_OTHER > FAILURE TO THRIVE	OMIM:614052	HPO:skoehler	Oct 17, 2012	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0001511	Intrauterine growth retardation			IEA	IEA						OMIM-CS:GROWTH_OTHER > INTRAUTERINE GROWTH RETARDATION	OMIM:614052	HPO:skoehler	Oct 17, 2012	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0001518	Small for gestational age			IEA	IEA						OMIM-CS:GROWTH_WEIGHT > LOW BIRTH WEIGHT	OMIM:614052	HPO:skoehler	Oct 17, 2012	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0000369	Low-set ears			IEA	IEA						OMIM-CS:HEAD AND NECK_EARS > LOW-SET EARS	OMIM:614052	HPO:skoehler	Oct 17, 2012	
OMIM:614052	#614052 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 2;MC5DN2;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, TMEM70 TYPE;;ENCEPHALOCARDIOMYOPATHY, MITOCHONDRIAL, NEONATAL, DUE TO ATP SYNTHASEDEFICIENCY					HP:0000343	Long philtrum			IEA	IEA						OMIM-CS:HEAD AND NECK_FACE > LONG PHILTRUM	OMIM:614052	HPO:skoehler	Oct 17, 2012	
