Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0000412	Prominent ears			IEA	IEA									17.02.2009	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0000582	Upslanted palpebral fissure			IEA	IEA									17.02.2009	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0000601	Hypotelorism			IEA	IEA									17.02.2009	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0000666	Horizontal nystagmus			IEA	IEA									17.02.2009	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0001137	Alternating esotropia			IEA	IEA									17.02.2009	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0011304	Broad thumb			TAS	TAS							MIM:156580	probinson	01.04.2012	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0011094	Overbite			TAS	TAS							MIM:156580	probinson	01.04.2012	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0000340	Sloping forehead			TAS	TAS							MIM:156580	probinson	01.05.2012	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0000252	Microcephaly			TAS	TAS							MIM:156580	probinson	01.05.2012	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0010055	Broad hallux			TAS	TAS							MIM:156580	probinson	01.05.2012	
MIM:156580	MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0004322	Short stature			TAS	TAS							MIM:156580	probinson	01.05.2012	
OMIM:156580	%156580 MICROCEPHALY, AUTOSOMAL DOMINANT					HP:0000006	Autosomal dominant inheritance			IEA	IEA						OMIM-CS:INHERITANCE > AUTOSOMAL DOMINANT FORM	OMIM:156580	HPO:skoehler	29.05.2013
