Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Sex	Negation	Description	Orthologs	Pub	Date Created	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0001518	Low birth weight									PCS	10/21							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0002022	Feeding difficulties									PCS	18/19							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0002020	Gastroesophageal reflux									PCS	11/15							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0001508	Failure to thrive									PCS	13/18							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0001290	Generalized hypotonia							HP:0003576	Onset in infancy	PCS	19/21							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0001263	Developmental retardation									PCS	24/24							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0001275	Epilepsy									PCS	1/21							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0002360	Sleep disturbances									PCS	5/16							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0001509	Short stature									PCS	5/21							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000717	Autism									PCS	10/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0002463	Language impairment									PCS	19/20							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0009088	Speech articulation difficulties									PCS	18/19							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0002357	Dysphasia									PCS	9/10							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0010535	Sleep apnea									PCS	8/9							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0002353	EEG abnormalities									PCS	11/14							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000540	Hypermetropia									PCS	9/15							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000365	Hearing loss									PCS	1/16							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0002011	Abnormality of the central nervous system									PCS	7/14							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0001626	Abnormality of the cardiovascular system									PCS	6/11							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000792	Kidney malformation									PCS	2/13							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0002650	Scoliosis									PCS	4/13							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0003146	Hypocholesterolemia									PCS	3/10							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0010529	Echolalia									PCS	6/7							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0008758	Stereotypical motor behaviors									PCS	4/7							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000817	Poor eye contact									PCS	3/7							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000337	Broad forehead									PCS	12/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000494	Downward slanting palpebral fissures									PCS	12/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0005274	Prominent nasal tip									PCS	12/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000325	Triangular facies							HP:0003593	Early onset	PCS	12/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0002051	Prominent jaw							HP:0003593	Early onset	PCS	12/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000210	Micrognathia							HP:0003593	Early onset	PCS	12/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000303	Mandibular prognathia							HP:0003584	Late onset	PCS	12/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000252	Microcephaly									PCS	2/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000316	Hypertelorism									PCS	2/12							PMID:17357070	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0003745	Sporadic									ICE								HPO:sdoelken	09.09.2010	
MIM:610883	POTOCKI-LUPSKI SYNDROME			dup17p11.2		HP:0000006	Autosomal dominant inheritance									ICE								HPO:sdoelken	09.09.2010	
