Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:312863	COMBINED IMMUNODEFICIENCY, X-LINKED					HP:0000246	Sinusitis			IEA	IEA							OMIM:312863	HPO	17.02.2009	
OMIM:312863	COMBINED IMMUNODEFICIENCY, X-LINKED					HP:0000388	Otitis media			IEA	IEA							OMIM:312863	HPO	17.02.2009	
OMIM:312863	COMBINED IMMUNODEFICIENCY, X-LINKED					HP:0001419	X-linked recessive inheritance			IEA	IEA							OMIM:312863	HPO	17.02.2009	
OMIM:312863	COMBINED IMMUNODEFICIENCY, X-LINKED					HP:0002090	Pneumonia			IEA	IEA							OMIM:312863	HPO	17.02.2009	
OMIM:312863	COMBINED IMMUNODEFICIENCY, X-LINKED					HP:0002837	Recurrent bronchitis			IEA	IEA							OMIM:312863	HPO	17.02.2009	
OMIM:312863	COMBINED IMMUNODEFICIENCY, X-LINKED					HP:0004315	IgG deficiency			IEA	IEA							OMIM:312863	HPO	17.02.2009	
OMIM:312863	COMBINED IMMUNODEFICIENCY, X-LINKED					HP:0005387	Combined immunodeficiency			TAS	TAS							OMIM:312863	HPO:probinson	17.02.2009	
OMIM:312863	COMBINED IMMUNODEFICIENCY, X-LINKED					HP:0005407	Decreased number of CD4+ T cells			IEA	IEA							OMIM:312863	HPO	17.02.2009	
OMIM:312863	COMBINED IMMUNODEFICIENCY, X-LINKED					HP:0005415	Decreased number of CD8+ T cells			IEA	IEA							OMIM:312863	HPO	17.02.2009	
OMIM:312863	#312863 COMBINED IMMUNODEFICIENCY, X-LINKED; CIDX;;XCID;;IMMUNODEFICIENCY 6; IMD6					HP:0040089	Abnormality of natural killer cell number			IEA	IEA				NOT	NOT	OMIM-CS:IMMUNOLOGY > NORMAL NUMBER OF NATURAL KILLER CELLS	OMIM:312863	HPO:skoehler	27.11.2014
