Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Entity ID	Entity Name	Quality ID	Quality Name	Add'l Entity ID	Add'l Entity Name	Age of Onset ID	Age of Onset Name	Evidence	Frequency	Abnormal ID	Abnormal Name	Negation ID	Negation Name	Description	Orthologs	Pub	Date Created	
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0000007	Autosomal recessive inheritance									TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0000486	Strabismus									TAS	30%							OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0000640	Gaze-evoked nystagmus									TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0000657	Oculomotor apraxia									PCS	2/10							PMID:16636238	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001152	Saccadic smooth pursuit									TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001260	Dysarthria									PCS	10/10							PMID:16636238	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001284	Areflexia									PCS	10/10							PMID:16636238	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001337	Tremor									TAS	57%							OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0001761	Pes cavus									PCS	12/18							PMID:14736755	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002015	Dysphagia	GO:0043050	null	PATO:0001641	disfunctional					PCS	10/10							PMID:16636238	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002070	Limb ataxia	FMA:7182	null	HP:0001251	Ataxia					TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002147	Increased serum creatine kinase									TAS								OMIM:606002	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002460	Distal muscle weakness	_:distal_muscle	null	PATO:0001779	decreased strength					PCS	10/10							PMID:16636238	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002066	Gait ataxia									PCS	10/10							PMID:16636238	17.02.2009
MIM:606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1 ATAXIA-OCULAR APRAXIA 2	MIM:608465	SENATAXIN		SETX	HP:0002650	Scoliosis			PATO:0002049	lateral and rotional curvature					PCS	7/18	PATO:0001869	pathological					PMID:14736755	17.02.2009
