Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0000007	Autosomal recessive inheritance			TAS	TAS							OMIM:262500	HPO:probinson	Feb 17, 2009	
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0000274	Small face			IEA	IEA							OMIM:262500	HPO	Feb 17, 2009	
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0000592	Blue sclerae			TAS	TAS	Rare						OMIM:262500	HPO:probinson	Feb 17, 2009	
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0001367	Abnormal joint morphology			IEA	IEA							OMIM:262500	HPO	Feb 17, 2009	
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0001620	High pitched voice			IEA	IEA							OMIM:262500	HPO	Feb 17, 2009	
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0001939	Abnormality of metabolism/homeostasis			IEA	IEA							OMIM:262500	HPO	Feb 17, 2009	
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0002750	Delayed skeletal maturation			TAS	TAS							OMIM:262500	HPO:probinson	Dec 15, 2013	
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0003026	Short long bones	HP:0003593	Infantile onset	TAS	TAS							OMIM:262500	HPO:probinson	Dec 15, 2013	
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0012569	Delayed menarche			TAS	TAS							OMIM:262500	HPO:probinson	Jan 8, 2014
OMIM:262500	GROWTH HORMONE INSENSITIVITY SYNDROME					HP:0003510	Severe short stature			TAS	TAS						Disease name contained:syndrome|laron-type dwarfism|primary gh insensit	OMIM:262500	HPO:skoehler	21.01.2015
	
