Disease ID	Disease Name	Gene ID	Gene Name	Genotype	Gene Symbol(s)	Phenotype ID	Phenotype Name	Age of Onset ID	Age of Onset Name	Evidence ID	Evidence Name	Frequency	Sex ID	Sex Name	Negation ID	Negation Name	Description	Pub	Assigned by	Date Created	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000007	Autosomal recessive inheritance			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000093	Proteinuria			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000097	Focal segmental glomerulosclerosis			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000105	Enlarged kidneys			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000120	Reduced creatinine clearance			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000155	Oral ulcers			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000295	Doll-like facies			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000660	Lipemia retinalis			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000787	Nephrolithiasis			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000822	Hypertension			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000823	Delayed puberty			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000939	Osteoporosis			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0000991	Xanthomatosis			IEA	IEA									17.02.2009	
MIM:232220	GLYCOGEN STORAGE DISEASE Ib	MIM:602671	SOLUTE CARRIER FAMILY 37 (GLUCOSE-6-PHOSPHATE TRANSPORTER), MEMBER		SLC37A4	HP:0001997	Gout			IEA	IEA									17.02.2009	
